NodeA,NodeB,Type
51805910,50000248,Follow
55956845,50000248,Follow
50123689,50001029,Follow
50124660,50001029,Follow
50182993,50001029,Follow
50184028,50001029,Follow
50948262,50001029,Follow
51924119,50001029,Follow
51965044,50001029,Follow
52828913,50001029,Follow
52977111,50001029,Follow
53390003,50001029,Follow
53606711,50001029,Follow
53757550,50001029,Follow
53777220,50001029,Follow
55287734,50001029,Follow
55454724,50001029,Follow
56220334,50001029,Follow
56248614,50001029,Follow
57218680,50001029,Follow
57517380,50001029,Follow
58962329,50001029,Follow
55956845,50001314,Follow
55956845,50001332,Follow
50079116,50001363,Follow
50165597,50001363,Follow
50427784,50001363,Follow
50893943,50001363,Follow
52890569,50001363,Follow
53140832,50001363,Follow
53757550,50001363,Follow
53877552,50001363,Follow
55513430,50001363,Follow
55956845,50001363,Follow
58494864,50001363,Follow
50124660,50001955,Follow
50736393,50001955,Follow
52617281,50001955,Follow
53464667,50001955,Follow
53757550,50001955,Follow
50021257,50001965,Follow
50037549,50001965,Follow
50107066,50001965,Follow
50119649,50001965,Follow
50124435,50001965,Follow
50124660,50001965,Follow
50130302,50001965,Follow
50155511,50001965,Follow
50253256,50001965,Follow
50427784,50001965,Follow
50596116,50001965,Follow
50650258,50001965,Follow
50919109,50001965,Follow
50933736,50001965,Follow
50948262,50001965,Follow
51087631,50001965,Follow
51221472,50001965,Follow
51238468,50001965,Follow
51254976,50001965,Follow
51389252,50001965,Follow
51544042,50001965,Follow
51908133,50001965,Follow
51946928,50001965,Follow
52000460,50001965,Follow
52024928,50001965,Follow
52064584,50001965,Follow
52224055,50001965,Follow
52364809,50001965,Follow
52452532,50001965,Follow
52590556,50001965,Follow
52890569,50001965,Follow
53140832,50001965,Follow
53197827,50001965,Follow
53464667,50001965,Follow
53530294,50001965,Follow
53662185,50001965,Follow
53757550,50001965,Follow
53833521,50001965,Follow
53896166,50001965,Follow
54089324,50001965,Follow
54273806,50001965,Follow
55020518,50001965,Follow
55105532,50001965,Follow
55305257,50001965,Follow
55513430,50001965,Follow
56182086,50001965,Follow
56536912,50001965,Follow
57199189,50001965,Follow
57300592,50001965,Follow
58328896,50001965,Follow
58551566,50001965,Follow
