NodeA,NodeB,Type
29,40446271,forked_from
31,8854153,forked_from
34,22048045,forked_from
34,28451743,forked_from
34,28726651,forked_from
34,18583902,forked_from
10615426,22544449,forked_from
10615426,22836442,forked_from
102,9228946,forked_from
102,3724320,forked_from
102,1385671,forked_from
102,5379069,forked_from
102,3578083,forked_from
102,750310,forked_from
12845194,20748084,forked_from
147,25226376,forked_from
147,28254011,forked_from
17563811,25172190,forked_from
17563811,30584117,forked_from
2346944,10485967,forked_from
208,32554518,forked_from
208,22088201,forked_from
10596644,10748160,forked_from
29121323,29884685,forked_from
281,12889166,forked_from
282,615985,forked_from
284,3064769,forked_from
337,4376708,forked_from
9699688,16270689,forked_from
5534552,10486124,forked_from
392,4439331,forked_from
402,1518212,forked_from
402,1518427,forked_from
1884,1835421,forked_from
470,5345664,forked_from
475,12456825,forked_from
8052452,17302013,forked_from
17827,15729150,forked_from
519,1474048,forked_from
519,33480947,forked_from
553,3755534,forked_from
559,1372754,forked_from
588,22198050,forked_from
25166421,34664847,forked_from
25166421,25349480,forked_from
602,27715519,forked_from
602,3649407,forked_from
4194940,17931329,forked_from
675,33209984,forked_from
14942885,18471289,forked_from
25024679,39060157,forked_from
735,17657191,forked_from
735,33209997,forked_from
60397,32244473,forked_from
766,5364065,forked_from
766,425148,forked_from
766,1753030,forked_from
781,12768854,forked_from
788,19827200,forked_from
788,23563312,forked_from
788,23584237,forked_from
805,11743172,forked_from
20532757,22545206,forked_from
20532757,20539672,forked_from
20532757,37324413,forked_from
20532757,20570669,forked_from
20532757,28435478,forked_from
22082680,35914565,forked_from
864,16595234,forked_from
931,14771481,forked_from
18351040,42506479,forked_from
977,28428823,forked_from
977,20650202,forked_from
977,6516424,forked_from
6241787,13632479,forked_from
1017,4445773,forked_from
5768192,26547896,forked_from
3146758,28401504,forked_from
1041,20271797,forked_from
1088,28451747,forked_from
4095,17302594,forked_from
4095,162684,forked_from
3840009,10224742,forked_from
3840009,13902597,forked_from
3840009,9457700,forked_from
14286135,33031307,forked_from
1173,30952324,forked_from
4751675,26215615,forked_from
257255,4195552,forked_from
257255,33169500,forked_from
1273,8919749,forked_from
1273,17122615,forked_from
1287,14409341,forked_from
1305,17054953,forked_from
1318,1771815,forked_from
7865651,28054298,forked_from
1342,4908899,forked_from
1357,29049191,forked_from
1358,5073,forked_from
1362,3922782,forked_from
1363,2200945,forked_from
1376,20783553,forked_from
5659116,14943608,forked_from
11836053,25953691,forked_from
12952,22807964,forked_from
1453,720254,forked_from
22084056,22283785,forked_from
31458825,31559944,forked_from
1566,1735604,forked_from
1566,21757775,forked_from
3588736,4195926,forked_from
3588736,16423858,forked_from
9963106,38976754,forked_from
9963106,11762283,forked_from
1650,22041659,forked_from
1650,7795875,forked_from
1650,1788985,forked_from
6817440,15012233,forked_from
6817440,18503722,forked_from
1707,665584,forked_from
1707,1044898,forked_from
1707,1044945,forked_from
12749140,33556139,forked_from
12749140,29817901,forked_from
1725,21250443,forked_from
1740,9701695,forked_from
24772,6555363,forked_from
24772,9109615,forked_from
10000302,16254726,forked_from
1809,8958703,forked_from
9119930,22808352,forked_from
4270163,24119090,forked_from
1881,3525941,forked_from
20449142,34129524,forked_from
1920,4789754,forked_from
1920,1712015,forked_from
1920,22511385,forked_from
13043,13633412,forked_from
13043,6261940,forked_from
26062815,27527049,forked_from
1930,1664663,forked_from
1941,2995762,forked_from
13633434,20431248,forked_from
1574822,7256576,forked_from
1962,8956121,forked_from
1996,1589547,forked_from
1996,1589643,forked_from
2007,3901254,forked_from
25467517,26478639,forked_from
2125,183348,forked_from
2160,17918,forked_from
2160,1771014,forked_from
2164,29781545,forked_from
2164,246420,forked_from
1837185,8095933,forked_from
2217,5335395,forked_from
2279,6823123,forked_from
2284,9287164,forked_from
22007,3148080,forked_from
22007,2890038,forked_from
22007,892392,forked_from
22007,2213990,forked_from
22007,1526872,forked_from
2388,6208157,forked_from
2388,13577910,forked_from
25040407,29886856,forked_from
25040407,30238644,forked_from
4496685,6031751,forked_from
8424674,11798943,forked_from
17617444,31459805,forked_from
17617444,24149847,forked_from
17617444,24174932,forked_from
17617444,28117769,forked_from
2558,28965927,forked_from
3410458,4594052,forked_from
789043,17107440,forked_from
2620,22136279,forked_from
16141837,24382034,forked_from
16141837,27979056,forked_from
2661,11197555,forked_from
5507690,10371136,forked_from
117299,265072,forked_from
25955194,32678070,forked_from
2941,21613720,forked_from
21498755,36319891,forked_from
31970968,31984540,forked_from
14683067,22535743,forked_from
11537342,13685672,forked_from
24120287,24120293,forked_from
3095,11884,forked_from
3095,6459400,forked_from
21761063,36740570,forked_from
21761063,21902152,forked_from
30128098,30936106,forked_from
30128098,30883226,forked_from
3129,1755400,forked_from
3137,85153,forked_from
3137,1678185,forked_from
3137,1678806,forked_from
3144,22105536,forked_from
3144,983657,forked_from
3200,10312696,forked_from
214939,16780484,forked_from
12818131,37227717,forked_from
3149024,11854803,forked_from
265444,9924152,forked_from
22051000,23596266,forked_from
3342,7519,forked_from
14945580,35189853,forked_from
14945580,32498492,forked_from
1838435,33645992,forked_from
20450716,37282686,forked_from
22517724,27528689,forked_from
22517724,34872969,forked_from
3633,8623523,forked_from
3668,7173481,forked_from
3714,1748540,forked_from
9895007,13897365,forked_from
9895007,28923067,forked_from
9895007,15447147,forked_from
56143,20713152,forked_from
21675444,22810341,forked_from
118922,11800363,forked_from
25146114,27529005,forked_from
3894,22045218,forked_from
3912,15332431,forked_from
3912,32184055,forked_from
18954449,20975451,forked_from
11800450,19735767,forked_from
13549116,25694081,forked_from
3984,6363396,forked_from
3984,1294989,forked_from
21195632,21499803,forked_from
4041,6511189,forked_from
15411,7081936,forked_from
4132,4773058,forked_from
7025061,37490761,forked_from
7025061,31480371,forked_from
7025061,37546214,forked_from
7025061,30860734,forked_from
4238,12174414,forked_from
4238,6546202,forked_from
6557843,33781864,forked_from
4276,29930713,forked_from
3578374,4198615,forked_from
242907,1839336,forked_from
4364,1536256,forked_from
3936540,24909302,forked_from
3936540,22158625,forked_from
3936540,19031945,forked_from
3936540,34269039,forked_from
3936540,17540296,forked_from
7344417,23652464,forked_from
4388,28697278,forked_from
2146866,4460842,forked_from
4432,22112247,forked_from
4439,27414985,forked_from
4455,28451761,forked_from
3669783,12849528,forked_from
4476,10739796,forked_from
5393242,5509517,forked_from
5393242,17051208,forked_from
4516,1715223,forked_from
4521,36819233,forked_from
4521,23271114,forked_from
4523,31909413,forked_from
4555,4568,forked_from
4037534,8917510,forked_from
21274,29102613,forked_from
19927586,34910092,forked_from
17165,29102636,forked_from
8710305,17306165,forked_from
23597644,31920882,forked_from
11014751,22367985,forked_from
6986543,17306218,forked_from
4718,28428626,forked_from
21715224,22811255,forked_from
6262026,20189816,forked_from
4739,3746639,forked_from
14632666,20452021,forked_from
14632666,22414023,forked_from
14632666,17458397,forked_from
14632666,22183186,forked_from
4826,1692460,forked_from
4828,13627076,forked_from
4872,4870973,forked_from
3412745,37822317,forked_from
3412745,28796807,forked_from
4929,4816991,forked_from
4929,17540444,forked_from
4964,1703859,forked_from
12587928,31480454,forked_from
20714393,20888300,forked_from
37229514,37478078,forked_from
38507,17830861,forked_from
28600243,37753849,forked_from
5209,1423174,forked_from
5209,171675,forked_from
5225,28290,forked_from
5230,30988985,forked_from
5230,11072234,forked_from
19370123,24646767,forked_from
5278,13746905,forked_from
11413607,25957586,forked_from
13636819,25995815,forked_from
13636819,28488717,forked_from
4271803,8918260,forked_from
4271803,5095912,forked_from
8918303,10124363,forked_from
5410,17404142,forked_from
19928375,20098488,forked_from
5434,13038717,forked_from
5446,1697028,forked_from
5461,3825551,forked_from
18879831,19037830,forked_from
5483,1591309,forked_from
5483,20930939,forked_from
5496,1062714,forked_from
5497,21529376,forked_from
6559180,11548804,forked_from
6559180,11705644,forked_from
5626,30731477,forked_from
5629,30015601,forked_from
5693,5637509,forked_from
17045121,30229070,forked_from
17045121,17670885,forked_from
5764,14342,forked_from
5767,29693369,forked_from
12326602,40248154,forked_from
5874,17885199,forked_from
5878,1682351,forked_from
24909609,24910397,forked_from
6297394,21855974,forked_from
11193363,20715325,forked_from
11193363,19435625,forked_from
6035271,30508301,forked_from
5967,1565977,forked_from
2408242,4200297,forked_from
28268285,28317607,forked_from
2405052,30152677,forked_from
6126,6565685,forked_from
411640,24909817,forked_from
411640,8317627,forked_from
6151,5582688,forked_from
6151,30907552,forked_from
6159,4621484,forked_from
25171984,33937939,forked_from
6180,6702646,forked_from
5511215,6822827,forked_from
25156630,33822785,forked_from
17899114,23599187,forked_from
22094982,37492881,forked_from
22094982,30867672,forked_from
22094982,29076864,forked_from
23599297,23687501,forked_from
22057019,23599326,forked_from
22057019,31844825,forked_from
6397,1009774,forked_from
6419,1669636,forked_from
14673264,30415166,forked_from
2252231,2365766,forked_from
10313339,24123745,forked_from
6500,12607795,forked_from
2261584,21502392,forked_from
2261584,33163910,forked_from
14254560,21502397,forked_from
14254560,14936843,forked_from
6595,58441,forked_from
12589539,18975714,forked_from
6641,7563495,forked_from
6719,1582213,forked_from
34342,21502526,forked_from
34342,43499169,forked_from
9706049,17504220,forked_from
55039,2628179,forked_from
55039,1458521,forked_from
20633854,20716129,forked_from
6780,3578360,forked_from
6780,13360331,forked_from
6782,4469894,forked_from
13900414,27627982,forked_from
6798,17262105,forked_from
5249727,17268823,forked_from
11062926,15473355,forked_from
1058739,8919756,forked_from
1058739,20555859,forked_from
6887,209373,forked_from
18040142,37493509,forked_from
6947,39955077,forked_from
6947,19789823,forked_from
9745493,13376322,forked_from
