nodeA,nodeB,Type
19,CE,containPlat
19,win,containPlat
23,win,containPlat
23,ios,containPlat
34,Android,containPlat
34,CE,containPlat
34,win,containPlat
34,android,containPlat
37,mac,containPlat
39,iOS,containPlat
39,mac,containPlat
39,win,containPlat
39,ios,containPlat
11010089,win,containPlat
9699379,win,containPlat
9699379,mac,containPlat
9699379,CE,containPlat
9699379,linux,containPlat
52,win,containPlat
55,win,containPlat
8912959,Debian,containPlat
8912959,Ubuntu/Debian,containPlat
8912959,win,containPlat
8912959,CentOS,containPlat
8912959,Ubuntu,containPlat
8912959,OS X,containPlat
8912959,CE,containPlat
8912959,Fedora,containPlat
262210,ios,containPlat
262210,mac,containPlat
262210,Unix,containPlat
262210,win,containPlat
262210,Win,containPlat
262210,OSX,containPlat
262210,Windows,containPlat
262210,Window,containPlat
22544449,win,containPlat
22544449,Android,containPlat
22544449,mac,containPlat
22544449,CE,containPlat
18350153,Android,containPlat
18350153,ios,containPlat
18350153,android,containPlat
74,Linux,containPlat
74,Android,containPlat
74,Unix,containPlat
74,Win,containPlat
74,UNIX,containPlat
74,Windows,containPlat
74,Window,containPlat
74,android,containPlat
74,CE,containPlat
74,OS X,containPlat
100,mac,containPlat
100,win,containPlat
100,ios,containPlat
102,Android,containPlat
102,CE,containPlat
102,android,containPlat
104,OSX,containPlat
104,win,containPlat
12845169,Android,containPlat
12845169,CE,containPlat
12845169,win,containPlat
116,win,containPlat
129,win,containPlat
21233798,iOS,containPlat
21233798,ios,containPlat
147,Android,containPlat
147,CE,containPlat
147,android,containPlat
157,win,containPlat
17563811,Android,containPlat
17563811,CE,containPlat
17563811,android,containPlat
13893795,Android,containPlat
13893795,CE,containPlat
13893795,android,containPlat
8388771,CE,containPlat
8388771,win,containPlat
168,win,containPlat
176,win,containPlat
190,CE,containPlat
202,win,containPlat
6029534,CE,containPlat
231,CE,containPlat
231,win,containPlat
11796712,iOS,containPlat
11796712,mac,containPlat
11796712,win,containPlat
11796712,Mac,containPlat
11796712,CE,containPlat
235,Android,containPlat
235,win,containPlat
235,GNU,containPlat
236,win,containPlat
236,linux,containPlat
9699568,Linux,containPlat
9699568,linux,containPlat
9699568,osx,containPlat
9699568,mac,containPlat
9699568,win,containPlat
9699568,ubuntu,containPlat
9699568,Mac,containPlat
26476784,iOS,containPlat
26476784,mac,containPlat
26476784,Mac,containPlat
26476784,win,containPlat
12058863,android,containPlat
250,CE,containPlat
252,Linux,containPlat
252,Win,containPlat
252,win,containPlat
252,Mac,containPlat
252,Windows,containPlat
252,Window,containPlat
252,CE,containPlat
5767424,Android,containPlat
5767424,CE,containPlat
5767424,win,containPlat
5767424,android,containPlat
14942469,iOS,containPlat
14942469,win,containPlat
29884685,macOS,containPlat
29884685,mac,containPlat
29884685,win,containPlat
29884685,Mac,containPlat
29884685,Ubuntu,containPlat
29884685,CE,containPlat
35651853,Android,containPlat
35651853,CE,containPlat
35651853,android,containPlat
23068950,iOS,containPlat
23068950,ios,containPlat
23068950,Android,containPlat
23068950,mac,containPlat
23068950,win,containPlat
23068950,android,containPlat
5505302,iOS,containPlat
282,Android,containPlat
282,CE,containPlat
282,win,containPlat
282,android,containPlat
284,Debian,containPlat
284,CE,containPlat
288,iOS,containPlat
288,Linux,containPlat
288,macOS,containPlat
288,mac,containPlat
288,windows,containPlat
288,win,containPlat
288,Unix,containPlat
