NodeA,id,Type
19,17918,mention
29,40446271,mention
29,40446271,mention
29,40446271,mention
3487422,40446271,mention
4627702,40446271,mention
4627702,40446271,mention
9373126,40446271,mention
37,7198861,mention
2326,7198861,mention
793402,7198861,mention
9994,7198861,mention
12333499,7198861,mention
13387468,7198861,mention
9462465,7198861,mention
14970374,7198861,mention
7630996,7198861,mention
11825307,7198861,mention
29499,7198861,mention
3437602,7198861,mention
30139,7198861,mention
9729948,7198861,mention
2391084,7198861,mention
6849671,7198861,mention
9737268,7198861,mention
42773233,7198861,mention
1358563,7198861,mention
41729627,7198861,mention
41468848,7198861,mention
19711948,7198861,mention
6869160,7198861,mention
31510918,7198861,mention
10277706,7198861,mention
3462917,7198861,mention
16833909,7198861,mention
30465897,7198861,mention
17098052,7198861,mention
2419103,7198861,mention
6109242,7198861,mention
81580,7198861,mention
81640,7198861,mention
6899634,7198861,mention
20010953,7198861,mention
15816865,7198861,mention
4546231,7198861,mention
5863346,7198861,mention
26319272,7198861,mention
7184038,7198861,mention
9806530,7198861,mention
6139516,7198861,mention
9547606,7198861,mention
2994769,7198861,mention
8500140,7198861,mention
5880410,7198861,mention
13483043,7198861,mention
11386769,7198861,mention
6940364,7198861,mention
22669404,7198861,mention
1442495,7198861,mention
6163435,7198861,mention
5377817,7198861,mention
3809532,7198861,mention
10103538,7198861,mention
33435155,7198861,mention
6959516,7198861,mention
6441115,7198861,mention
36325785,7198861,mention
2247426,7198861,mention
7230527,7198861,mention
7232164,7198861,mention
947928,7198861,mention
6192064,7198861,mention
1477862,7198861,mention
169124,7198861,mention
7509767,7198861,mention
6988298,7198861,mention
4369063,7198861,mention
28488685,7198861,mention
13027456,7198861,mention
454003,7198861,mention
14358857,7198861,mention
17244775,7198861,mention
4929853,7198861,mention
212640,7198861,mention
7291009,7198861,mention
2310616,7198861,mention
9128675,7198861,mention
5458921,7198861,mention
17256424,7198861,mention
5463206,7198861,mention
8874498,7198861,mention
4948011,7198861,mention
3377196,7198861,mention
14125693,7198861,mention
497268,7198861,mention
5741004,7198861,mention
7051847,7198861,mention
30125644,7198861,mention
1027947,7198861,mention
7843826,7198861,mention
5484732,7198861,mention
9680120,7198861,mention
7059401,7198861,mention
12827270,7198861,mention
251352,7198861,mention
6282507,7198861,mention
17292695,7198861,mention
10480165,7198861,mention
41413302,7198861,mention
13627024,7198861,mention
3930107,7198861,mention
22544449,10615426,mention
22544449,10615426,mention
22836442,10615426,mention
22836442,10615426,mention
29930639,10615426,mention
22152308,10615426,mention
21911541,10615426,mention
30327426,10615426,mention
22544449,911850,mention
5510134,911850,mention
20193733,911850,mention
9710419,911850,mention
43266685,911850,mention
3683433,911850,mention
3174311,911850,mention
22836442,911850,mention
36108,911850,mention
6866073,911850,mention
30761019,911850,mention
10615426,911850,mention
20582866,911850,mention
4650425,911850,mention
4650425,911850,mention
4650425,911850,mention
4650425,911850,mention
4650425,911850,mention
4650425,911850,mention
4650425,911850,mention
4650425,911850,mention
4650425,911850,mention
4650425,911850,mention
4936348,911850,mention
5203729,911850,mention
5203729,911850,mention
5203729,911850,mention
5203729,911850,mention
5203729,911850,mention
5203729,911850,mention
5203729,911850,mention
5203729,911850,mention
5203729,911850,mention
5203729,911850,mention
7054899,911850,mention
4696084,911850,mention
3653624,911850,mention
6026040,911850,mention
74,1596,mention
6690806,1596,mention
74,7068877,mention
6690806,7068877,mention
74,12271711,mention
6690806,12271711,mention
100,17527603,mention
2750420,17527603,mention
102,31291,mention
8131576,31291,mention
9710419,31291,mention
544142,31291,mention
544142,31291,mention
29385112,31291,mention
4769795,31291,mention
9228946,31291,mention
3724320,31291,mention
1385671,31291,mention
25259468,31291,mention
28156640,31291,mention
10618055,31291,mention
5379069,31291,mention
3578083,31291,mention
750310,31291,mention
15444059,31291,mention
24101949,31291,mention
104,9851,mention
3711,9851,mention
21324060,9851,mention
10664358,9851,mention
104,3711,mention
104,3711,mention
168,24397,mention
30711808,24397,mention
15295594,24397,mention
43894833,24397,mention
43894833,24397,mention
43894833,24397,mention
43894833,24397,mention
4881013,24397,mention
4881013,24397,mention
168,206333,mention
2968,206333,mention
231,3402,mention
6142330,3402,mention
6142330,3402,mention
231,44202,mention
198325,44202,mention
231,5641,mention
3402,5641,mention
41411,5641,mention
3872483,5641,mention
231,198325,mention
44202,198325,mention
231,3872483,mention
3402,3872483,mention
5641,3872483,mention
11796712,11665863,mention
10761212,11665863,mention
10766377,11665863,mention
15295594,11665863,mention
15295594,11665863,mention
20026015,11665863,mention
8004811,11665863,mention
20088287,11665863,mention
21428053,11665863,mention
22520442,11665863,mention
22520442,11665863,mention
11796712,8004811,mention
11796712,8004811,mention
8485192,8004811,mention
11796712,1273,mention
519,1273,mention
519,1273,mention
519,1273,mention
1835949,1273,mention
8919749,1273,mention
8919749,1273,mention
8919749,1273,mention
8919749,1273,mention
8919749,1273,mention
8919749,1273,mention
8919749,1273,mention
8919749,1273,mention
8919749,1273,mention
8919749,1273,mention
269428,1273,mention
3158485,1273,mention
13100,1273,mention
13100,1273,mention
10761212,1273,mention
20865,1273,mention
20865,1273,mention
2643802,1273,mention
22045001,1273,mention
9986567,1273,mention
6318663,1273,mention
28560,1273,mention
30097,1273,mention
5535205,1273,mention
31226115,1273,mention
18383924,1273,mention
38053,1273,mention
38053,1273,mention
1349859,1273,mention
1349859,1273,mention
14719301,1273,mention
9477504,1273,mention
22069934,1273,mention
22336896,1273,mention
22076766,1273,mention
2417894,1273,mention
1893772,1273,mention
10020720,1273,mention
10020720,1273,mention
11332562,1273,mention
16839317,1273,mention
16839317,1273,mention
3471378,1273,mention
8981106,1273,mention
14749683,1273,mention
12916467,1273,mention
7150370,1273,mention
8988823,1273,mention
8988823,1273,mention
7416379,1273,mention
2173820,1273,mention
18689912,1273,mention
12398519,1273,mention
6107528,1273,mention
17908935,1273,mention
17122615,1273,mention
17122615,1273,mention
17122615,1273,mention
17122615,1273,mention
17122615,1273,mention
17122615,1273,mention
17122615,1273,mention
17122615,1273,mention
17122615,1273,mention
17122615,1273,mention
1919989,1273,mention
6114994,1273,mention
3232480,1273,mention
3232480,1273,mention
11360011,1273,mention
11360011,1273,mention
22375878,1273,mention
8485192,1273,mention
8485192,1273,mention
3767010,1273,mention
5085972,1273,mention
10332945,1273,mention
9284777,1273,mention
9284777,1273,mention
21868805,1273,mention
9817749,1273,mention
9817749,1273,mention
2742061,1273,mention
5888611,1273,mention
21880158,1273,mention
11133659,1273,mention
2749948,1273,mention
2749948,1273,mention
10879571,1273,mention
10098353,1273,mention
9050080,1273,mention
9050080,1273,mention
25303333,1273,mention
22157947,1273,mention
22157947,1273,mention
8004811,1273,mention
3286949,1273,mention
31338382,1273,mention
929999,1273,mention
8532554,1273,mention
17970235,1273,mention
8015608,1273,mention
2251127,1273,mention
16932796,1273,mention
10117832,1273,mention
10117832,1273,mention
11168024,1273,mention
22181390,1273,mention
22181390,1273,mention
2522050,1273,mention
